id,order_id,flag_id,f_comment,user_id,created_at,updated_at
805576,1657630,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:39:54,2019-04-24 06:39:54
805577,1657639,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:39:54,2019-04-24 06:39:54
805578,1657735,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:39:55,2019-04-24 06:39:55
805579,1657937,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:39:55,2019-04-24 06:39:55
805581,1658018,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:39:56,2019-04-24 06:39:56
805582,1658063,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:39:56,2019-04-24 06:39:56
805583,1658111,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:39:57,2019-04-24 06:39:57
805584,1658231,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:39:57,2019-04-24 06:39:57
805585,1658233,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:39:58,2019-04-24 06:39:58
805586,1658271,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:39:58,2019-04-24 06:39:58
805587,1658374,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:39:58,2019-04-24 06:39:58
805588,1658435,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:39:59,2019-04-24 06:39:59
805590,1658532,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:40:00,2019-04-24 06:40:00
805591,1658646,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:40:00,2019-04-24 06:40:00
805592,1658703,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:40:01,2019-04-24 06:40:01
